experiment,model,building_id,n_observations,MAE,RMSE,R2,NMAE
seen,linear_regression,Fox_education_Claire,3494,3.6406167787913146,5.272284774136713,0.9455829430290641,0.05726411023453958
seen,linear_regression,Fox_education_Gloria,3472,6.806571236637491,19.554854612982297,0.7116644391704197,0.010457894636680495
seen,linear_regression,Fox_education_Henrietta,3482,8.158718404268056,12.335807328955477,0.7395229604939448,0.14112683795797534
seen,linear_regression,Fox_education_Lilly,3469,8.488731701508188,13.274595108309917,0.9081631749968352,0.04599568560408971
seen,linear_regression,Fox_education_Shawanda,3483,2.738758461296259,3.317810489335845,0.7938796837890187,0.28477930409625113
seen,linear_regression,Fox_education_Virgil,3488,2.4174248613297036,3.83775625928335,0.809207950569139,0.027270561275410513
seen,linear_regression,Fox_lodging_Isabell,3483,2.599654959034412,3.013679051986655,-1.2015017844152482,0.10271796911740938
seen,linear_regression,Gator_assembly_Kimberly,3314,23.866539940664943,83.72821803033,0.9333479560261364,0.017164797176581932
seen,linear_regression,Gator_public_Nettie,3145,2.619598507384131,2.9827965736202953,0.43633976430502674,0.18139189472756373
seen,linear_regression,Hog_health_Kesha,3472,4.881552374365865,6.587928691797243,0.9470080195027932,0.019888071655216194
seen,linear_regression,Hog_office_Eloise,3499,8.3377307207495,14.307130073719872,0.9206824393428108,0.024998449849780953
seen,linear_regression,Hog_office_Elsy,3483,2.366710763924662,2.897590102448364,0.7690573582431691,0.09189199633461757
seen,linear_regression,Hog_office_Emmanuel,3427,2.32460576396971,2.8822727749651036,0.8068590039914338,0.08427092569588332
seen,linear_regression,Hog_office_Mary,3504,2.8407021143250217,3.832001622451421,0.9347504807896371,0.08799037516590319
seen,linear_regression,Hog_warehouse_Porsha,3488,4.336285776571677,6.360011357362957,0.650301232119556,0.3294658158147403
seen,linear_regression,Lamb_assembly_Rosa,3504,78.72949377774941,155.61400217292044,0.465615054504965,0.6018903986084099
seen,linear_regression,Lamb_education_Ellen,3259,1.566005570165697,2.411387536411188,-90.36289655376713,78.67239725750996
seen,linear_regression,Lamb_education_Harold,3187,1.518334528803448,2.355721195037016,,5061.115096011494
seen,linear_regression,Lamb_education_Rodrigo,3496,4.105610403671833,6.172296152676368,0.9486993517990309,0.09736319101330787
seen,linear_regression,Lamb_education_Stefan,3484,1.9170895102685648,2.8241059758520817,0.878848182021506,0.6228636525996193
seen,linear_regression,Lamb_industrial_Willard,3248,1.290738973101798,2.0667764746822352,-172.66757761528177,156.29047918589904
seen,linear_regression,Lamb_office_Caitlin,3504,4.831574575397226,9.650571061433531,0.9386493087793488,0.1694268091477149
seen,linear_regression,Lamb_public_Angeline,2927,2.7807711980126713,6.206153574729811,0.9465322727276017,0.2104323943743427
seen,linear_regression,Mouse_health_Justin,3134,34.96982006778534,47.95165555034334,0.9390468446540466,0.0396779231817697
seen,linear_regression,Panther_education_Mohammad,2806,6.733180110255075,9.218459953268372,0.9362096466546683,0.04565616510683523
seen,linear_regression,Panther_lodging_Edmond,2811,4.022116184320455,5.091765851662964,0.8964120263542308,0.09440009655856028
seen,linear_regression,Panther_office_Jeane,2811,3.4123817070950255,4.483087935798604,0.6713273207258468,0.16830285222696886
seen,linear_regression,Peacock_public_Kelvin,3487,13.869093312100324,20.222454851152087,0.9117079272458134,0.05128500629510432
seen,linear_regression,Rat_assembly_Teddy,3454,8.275232323666348,13.018586859539194,0.693306421993832,0.10971506381593489
seen,linear_regression,Rat_education_Adrian,3449,5.007938352273443,7.515126099824095,0.9541521974455685,0.06388770398431659
seen,linear_regression,Rat_education_Kelsey,3473,5.2361636332153285,8.22977732460919,0.9680373261211802,0.03276234027591418
seen,linear_regression,Rat_education_Marvin,3436,4.245615659261031,6.151325848854524,0.9603848965791808,0.07449653922629834
seen,linear_regression,Wolf_public_Norma,3499,10.188707845771155,15.968977099449308,0.9439374665223763,0.07616096853790723
seen,xgboost,Bear_education_Gavin,3453,2.8950871639124665,3.7262186954229204,0.834743410515548,0.03205267782383921
seen,xgboost,Bear_education_Mara,3174,5.3549412663344995,7.419725366125497,0.9430277276668463,0.010758850503829088
seen,xgboost,Bear_education_Merrill,2586,1.7701079142500429,2.790554365401718,0.871473806153225,0.08775580840143071
seen,xgboost,Bear_education_Nanette,3156,9.625434585907794,15.358877840009294,0.8960989903296543,0.08091590013889689
seen,xgboost,Bear_education_Wm,3483,2.1063733194636507,3.05072626630185,0.9439377257286872,0.042501487040814134
seen,xgboost,Bear_education_Zandra,3408,10.920187905554254,15.446521414055463,0.8243186569091236,0.011837813728483072
seen,xgboost,Bear_public_Lowell,3488,6.270571272382823,10.032717947779457,0.9387790410546867,0.030824789053050927
seen,xgboost,Bull_assembly_Goldie,3352,4.076130604687056,6.090845583247176,0.8704650973874452,0.06324789510017781
seen,xgboost,Bull_lodging_Lettie,3347,2.3394061402844284,3.2391020557030936,0.7905275479589751,0.06345264022829993
seen,xgboost,Cockatoo_education_Amira,2435,3.6072582907624606,8.192289759930473,0.420830903909569,0.0812218554633684
seen,xgboost,Cockatoo_education_Claudine,3143,2.0952696068176597,3.2371096580431624,0.5802871046081624,0.053842141887236565
seen,xgboost,Cockatoo_education_Jack,3143,0.9803229080393175,1.3467862757504792,0.7797074942673274,0.13717203852143792
seen,xgboost,Cockatoo_education_June,3146,3.1545413260506585,4.274056296864982,0.9286073888817935,0.030960276976610034
seen,xgboost,Cockatoo_education_Victoria,2998,0.5358999480876706,0.789458928095313,0.5572534612007012,0.11957147068011034
seen,xgboost,Eagle_assembly_Ian,3338,36.20000580387104,61.52122132434429,0.8414281416561133,0.075137324204262
seen,xgboost,Eagle_education_Eileen,3036,2.618707990388531,3.702163048873312,0.8327853668708436,0.05537140703034872
seen,xgboost,Eagle_education_Shanna,3321,14.578320550042726,23.097977158931403,0.7143640938880965,0.04881468772730488
